org;1.3
saRgIpMgmtLanPortControlEntry;1.3.6.1.4.1.1429.79.2.3.13.1.1
saRgIpMgmtLanPortControlIndex;1.3.6.1.4.1.1429.79.2.3.13.1.1.1
saRgIpMgmtLanPortMode;1.3.6.1.4.1.1429.79.2.3.13.1.1.2
saRgIpMgmtRestoreDefaults;1.3.6.1.4.1.1429.79.2.3.14
saRgIpMgmtApplySettings;1.3.6.1.4.1.1429.79.2.3.1001
saRgFirewall;1.3.6.1.4.1.1429.79.2.4
saRgFirewallBase;1.3.6.1.4.1.1429.79.2.4.1
saRgFirewallProtection;1.3.6.1.4.1.1429.79.2.4.1.1
saRgFirewallDmzAddress;1.3.6.1.4.1.1429.79.2.4.1.2
saRgFirewallPortForwardEnable;1.3.6.1.4.1.1429.79.2.4.1.3
saRgFirewallPortTriggerEnable;1.3.6.1.4.1.1429.79.2.4.1.4
saRgFirewallTraffic;1.3.6.1.4.1.1429.79.2.4.2
saRgFirewallTrafficBlock;1.3.6.1.4.1.1429.79.2.4.2.1
saRgFirewallTrafficDetect;1.3.6.1.4.1.1429.79.2.4.2.2
saRgFirewallTrafficPassThru;1.3.6.1.4.1.1429.79.2.4.2.3
saRgFirewallWANBlockingEnable;1.3.6.1.4.1.1429.79.2.4.2.4
saRgFirewallReport;1.3.6.1.4.1.1429.79.2.4.4
saRgFirewallReportEventTable;1.3.6.1.4.1.1429.79.2.4.4.1
saRgFirewallReportEventEntry;1.3.6.1.4.1.1429.79.2.4.4.1.1
saRgFirewallReportEventIndex;1.3.6.1.4.1.1429.79.2.4.4.1.1.1
saRgFirewallReportEventDescription;1.3.6.1.4.1.1429.79.2.4.4.1.1.2
saRgFirewallReportEventCount;1.3.6.1.4.1.1429.79.2.4.4.1.1.3
saRgFirewallReportEventLastOccurance;1.3.6.1.4.1.1429.79.2.4.4.1.1.4
saRgFirewallReportEventTarget;1.3.6.1.4.1.1429.79.2.4.4.1.1.5
saRgFirewallReportEventSource;1.3.6.1.4.1.1429.79.2.4.4.1.1.6
saRgFirewallReportMgmt;1.3.6.1.4.1.1429.79.2.4.4.2
saRgFirewallReportMgmtClearLog;1.3.6.1.4.1.1429.79.2.4.4.2.1
saRgFirewallReportEmailLogNow;1.3.6.1.4.1.1429.79.2.4.4.2.2
saRgFirewallReportEmail;1.3.6.1.4.1.1429.79.2.4.4.3
saRgFirewallReportEmailEnable;1.3.6.1.4.1.1429.79.2.4.4.3.1
saRgFirewallReportEmailAddress;1.3.6.1.4.1.1429.79.2.4.4.3.2
saRgFirewallReportEmailSmtpServer;1.3.6.1.4.1.1429.79.2.4.4.3.3
saRgFirewallReportEmailUsername;1.3.6.1.4.1.1429.79.2.4.4.3.4
saRgFirewallReportEmailPassword;1.3.6.1.4.1.1429.79.2.4.4.3.5
saRgFirewallRules;1.3.6.1.4.1.1429.79.2.4.5
saRgFirewallIpFilterTable;1.3.6.1.4.1.1429.79.2.4.5.1
saRgFirewallIpFilterEntry;1.3.6.1.4.1.1429.79.2.4.5.1.1
saRgFirewallIpFilterIndex;1.3.6.1.4.1.1429.79.2.4.5.1.1.1
saRgFirewallIpFilterRowStatus;1.3.6.1.4.1.1429.79.2.4.5.1.1.2
saRgFirewallIpFilterAddressStart;1.3.6.1.4.1.1429.79.2.4.5.1.1.3
saRgFirewallIpFilterAddressEnd;1.3.6.1.4.1.1429.79.2.4.5.1.1.4
saRgFirewallIpFilterTrusted;1.3.6.1.4.1.1429.79.2.4.5.1.1.5
saRgFirewallIpFilterPolicy;1.3.6.1.4.1.1429.79.2.4.5.1.1.6
saRgFirewallPortFilterTable;1.3.6.1.4.1.1429.79.2.4.5.2
saRgFirewallPortFilterEntry;1.3.6.1.4.1.1429.79.2.4.5.2.1
saRgFirewallPortFilterIndex;1.3.6.1.4.1.1429.79.2.4.5.2.1.1
saRgFirewallPortFilterRowStatus;1.3.6.1.4.1.1429.79.2.4.5.2.1.2
saRgFirewallPortFilterPortStart;1.3.6.1.4.1.1429.79.2.4.5.2.1.5
saRgFirewallPortFilterPortEnd;1.3.6.1.4.1.1429.79.2.4.5.2.1.6
saRgFirewallPortFilterProto;1.3.6.1.4.1.1429.79.2.4.5.2.1.7
saRgFirewallPortFilterAlwaysBlock;1.3.6.1.4.1.1429.79.2.4.5.2.1.8
saRgFirewallPortFilterBlockStartTime;1.3.6.1.4.1.1429.79.2.4.5.2.1.9
saRgFirewallPortFilterBlockEndTime;1.3.6.1.4.1.1429.79.2.4.5.2.1.10
saRgFirewallPortFilterBlockDays;1.3.6.1.4.1.1429.79.2.4.5.2.1.11
saRgFirewallMacFilterTable;1.3.6.1.4.1.1429.79.2.4.5.3
saRgFirewallMacFilterEntry;1.3.6.1.4.1.1429.79.2.4.5.3.1
saRgFirewallMacFilterIndex;1.3.6.1.4.1.1429.79.2.4.5.3.1.1
saRgFirewallMacFilterRowStatus;1.3.6.1.4.1.1429.79.2.4.5.3.1.2
saRgFirewallMacFilterAddress;1.3.6.1.4.1.1429.79.2.4.5.3.1.3
saRgFirewallMacFilterAlwaysBlock;1.3.6.1.4.1.1429.79.2.4.5.3.1.4
saRgFirewallMacFilterBlockStartTime;1.3.6.1.4.1.1429.79.2.4.5.3.1.5
saRgFirewallMacFilterBlockEndTime;1.3.6.1.4.1.1429.79.2.4.5.3.1.6
saRgFirewallMacFilterBlockDays;1.3.6.1.4.1.1429.79.2.4.5.3.1.7
saRgFirewallMacFilterEnable;1.3.6.1.4.1.1429.79.2.4.5.4
saRgFirewallMacFilterMode;1.3.6.1.4.1.1429.79.2.4.5.5
saRgFirewallPortFilterEnable;1.3.6.1.4.1.1429.79.2.4.5.6
saRgFirewallUrlKeywordFiltering;1.3.6.1.4.1.1429.79.2.4.5.7
saRgFirewallUrlKeywordFilterEnable;1.3.6.1.4.1.1429.79.2.4.5.7.1
saRgFirewallUrlKeywordFilterTable;1.3.6.1.4.1.1429.79.2.4.5.7.2
saRgFirewallUrlKeywordFilterEntry;1.3.6.1.4.1.1429.79.2.4.5.7.2.1
saRgFirewallUrlKeywordFilterIndex;1.3.6.1.4.1.1429.79.2.4.5.7.2.1.1
saRgFirewallUrlKeywordFilterRowStatus;1.3.6.1.4.1.1429.79.2.4.5.7.2.1.2
saRgFirewallUrlKeywordFilterMethod;1.3.6.1.4.1.1429.79.2.4.5.7.2.1.3
saRgFirewallUrlKeywordFilterMatch;1.3.6.1.4.1.1429.79.2.4.5.7.2.1.4
saRgFirewallUrlKeywordFilterAlwaysBlock;1.3.6.1.4.1.1429.79.2.4.5.7.2.1.5
saRgFirewallUrlKeywordFilterBlockStartTime;1.3.6.1.4.1.1429.79.2.4.5.7.2.1.6
saRgFirewallUrlKeywordFilterBlockEndTime;1.3.6.1.4.1.1429.79.2.4.5.7.2.1.7
saRgFirewallUrlKeywordFilterBlockDays;1.3.6.1.4.1.1429.79.2.4.5.7.2.1.8
saRgFirewallPortFwdTable;1.3.6.1.4.1.1429.79.2.4.6
saRgFirewallPortFwdEntry;1.3.6.1.4.1.1429.79.2.4.6.1
saRgFirewallPortFwdIndex;1.3.6.1.4.1.1429.79.2.4.6.1.1
saRgFirewallPortFwdRowStatus;1.3.6.1.4.1.1429.79.2.4.6.1.2
saRgFirewallPortFwdToAddress;1.3.6.1.4.1.1429.79.2.4.6.1.3
saRgFirewallPortFwdPortStart;1.3.6.1.4.1.1429.79.2.4.6.1.4
saRgFirewallPortFwdPortEnd;1.3.6.1.4.1.1429.79.2.4.6.1.5
saRgFirewallPortFwdProto;1.3.6.1.4.1.1429.79.2.4.6.1.6
saRgFirewallPortFwdSrvcName;1.3.6.1.4.1.1429.79.2.4.6.1.7
saRgFirewallPortFwdExternalPortStart;1.3.6.1.4.1.1429.79.2.4.6.1.8
saRgFirewallPortFwdExternalPortEnd;1.3.6.1.4.1.1429.79.2.4.6.1.9
saRgFirewallPortTrigTable;1.3.6.1.4.1.1429.79.2.4.7
saRgFirewallPortTrigEntry;1.3.6.1.4.1.1429.79.2.4.7.1
saRgFirewallPortTrigIndex;1.3.6.1.4.1.1429.79.2.4.7.1.1
saRgFirewallPortTrigRowStatus;1.3.6.1.4.1.1429.79.2.4.7.1.2
saRgFirewallPortTrigTriggerPortStart;1.3.6.1.4.1.1429.79.2.4.7.1.3
saRgFirewallPortTrigTriggerPortEnd;1.3.6.1.4.1.1429.79.2.4.7.1.4
saRgFirewallPortTrigTargetPortStart;1.3.6.1.4.1.1429.79.2.4.7.1.5
saRgFirewallPortTrigTargetPortEnd;1.3.6.1.4.1.1429.79.2.4.7.1.6
saRgFirewallPortTrigProto;1.3.6.1.4.1.1429.79.2.4.7.1.7
saRgFirewallPortTrigSrvcName;1.3.6.1.4.1.1429.79.2.4.7.1.8
saRgFirewallHttpBlockingEnable;1.3.6.1.4.1.1429.79.2.4.8
saRgFirewallP2pBlockingEnable;1.3.6.1.4.1.1429.79.2.4.9
saRgFirewallIdentBlockingEnable;1.3.6.1.4.1.1429.79.2.4.10
saRgFirewallIcmpBlockingEnable;1.3.6.1.4.1.1429.79.2.4.11
saRgFirewallMulticastBlockingEnable;1.3.6.1.4.1.1429.79.2.4.12
saRgFirewallApplySettings;1.3.6.1.4.1.1429.79.2.4.1001
saRgFirewallFactoryReset;1.3.6.1.4.1.1429.79.2.4.1002
saRgRip;1.3.6.1.4.1.1429.79.2.5
saRgRipBase;1.3.6.1.4.1.1429.79.2.5.1
saRgRipEnabled;1.3.6.1.4.1.1429.79.2.5.1.1
saRgRipMd5AuthEnable;1.3.6.1.4.1.1429.79.2.5.1.2
saRgRipMd5KeyId;1.3.6.1.4.1.1429.79.2.5.1.3
saRgRipMd5KeyValue;1.3.6.1.4.1.1429.79.2.5.1.4
saRgRipInterval;1.3.6.1.4.1.1429.79.2.5.1.5
saRgRipDestIpAddressType;1.3.6.1.4.1.1429.79.2.5.1.6
saRgRipDestIpAddress;1.3.6.1.4.1.1429.79.2.5.1.7
saRgRipAuthType;1.3.6.1.4.1.1429.79.2.5.1.8
saRgRipAuthSimplePassword;1.3.6.1.4.1.1429.79.2.5.1.9
saRgDmsSpecific;1.3.6.1.4.1.1429.79.2.6
saRgDmsBase;1.3.6.1.4.1.1429.79.2.6.1
saRgDmsBaseSnmpPort;1.3.6.1.4.1.1429.79.2.6.1.1
saRgDmsBaseWebRedirect;1.3.6.1.4.1.1429.79.2.6.1.2
saRgDmsProvisioning;1.3.6.1.4.1.1429.79.2.6.2
saRgDmsProvFilename;1.3.6.1.4.1.1429.79.2.6.2.1
saRgDmsProvServerType;1.3.6.1.4.1.1429.79.2.6.2.2
saRgDmsProvServer;1.3.6.1.4.1.1429.79.2.6.2.3
saRgDmsProvDhcpSecurity;1.3.6.1.4.1.1429.79.2.6.2.4
saRgDmsNameResolution;1.3.6.1.4.1.1429.79.2.6.3
saRgDmsNameResolutionName;1.3.6.1.4.1.1429.79.2.6.3.1
saRgDmsNameResolutionDeviceTarget;1.3.6.1.4.1.1429.79.2.6.3.2
saRgMocaExtSpecific;1.3.6.1.4.1.1429.79.2.7
saRgMocaExtBase;1.3.6.1.4.1.1429.79.2.7.1
saRgMocaExtProvisioning;1.3.6.1.4.1.1429.79.2.7.2
saRgMocaExtProvFilename;1.3.6.1.4.1.1429.79.2.7.2.1
saRgMocaExtProvServerType;1.3.6.1.4.1.1429.79.2.7.2.2
saRgMocaExtProvServer;1.3.6.1.4.1.1429.79.2.7.2.3
saRgQos;1.3.6.1.4.1.1429.79.2.8
saRgQosLan;1.3.6.1.4.1.1429.79.2.8.1
saRgQosLanBase;1.3.6.1.4.1.1429.79.2.8.1.1
saRgQosLanIgmpSnooping;1.3.6.1.4.1.1429.79.2.8.1.1.1
saRgQosLanSwitch;1.3.6.1.4.1.1429.79.2.8.1.2
saRgQosLanSwitchPortIndex;1.3.6.1.4.1.1429.79.2.8.1.2.1
saRgQosLanSwitchEgressScheduler;1.3.6.1.4.1.1429.79.2.8.1.2.2
saRgQosSwitchClassPriorityTable;1.3.6.1.4.1.1429.79.2.8.1.2.3
saRgQosSwitchClassPriorityEntry;1.3.6.1.4.1.1429.79.2.8.1.2.3.1
saRgQosSwitchClassPriorityEnable;1.3.6.1.4.1.1429.79.2.8.1.2.3.1.1
saRgQosSwitchClassPriorityPort;1.3.6.1.4.1.1429.79.2.8.1.2.3.1.2
saRgQosSwitchClassPriorityDa;1.3.6.1.4.1.1429.79.2.8.1.2.3.1.3
saRgQosSwitchClassPriorityVlan;1.3.6.1.4.1.1429.79.2.8.1.2.3.1.4
saRgQosSwitchClassPriorityTos;1.3.6.1.4.1.1429.79.2.8.1.2.3.1.5
saRgQosSwitchClassPrioritySetPort;1.3.6.1.4.1.1429.79.2.8.1.2.3.1.6
saRgQosSwitchClassPrioritySetDa;1.3.6.1.4.1.1429.79.2.8.1.2.3.1.7
saRgQosSwitchClassPrioritySetVlan;1.3.6.1.4.1.1429.79.2.8.1.2.3.1.8
saRgQosSwitchClassPrioritySetTos;1.3.6.1.4.1.1429.79.2.8.1.2.3.1.9
saRgHomePlugAV;1.3.6.1.4.1.1429.79.2.9
saRgHomePlugAVBasicInfoTable;1.3.6.1.4.1.1429.79.2.9.1
saRgHomePlugAVBasicInfoEntry;1.3.6.1.4.1.1429.79.2.9.1.1
saRgHPAVBasicInfoIndex;1.3.6.1.4.1.1429.79.2.9.1.1.1
saRgHPAVBasicInfoNetworkID;1.3.6.1.4.1.1429.79.2.9.1.1.2
saRgHPAVBasicInfoCCo;1.3.6.1.4.1.1429.79.2.9.1.1.3
saRgHomePlugAVDeviceTable;1.3.6.1.4.1.1429.79.2.9.2
saRgHomePlugAVDeviceEntry;1.3.6.1.4.1.1429.79.2.9.2.1
saRgHPAVDeviceIndex;1.3.6.1.4.1.1429.79.2.9.2.1.1
saRgHPAVDeviceStatus;1.3.6.1.4.1.1429.79.2.9.2.1.2
saRgHPAVDeviceMACAddr;1.3.6.1.4.1.1429.79.2.9.2.1.3
saRgHPAVDeviceAdaptor;1.3.6.1.4.1.1429.79.2.9.2.1.4
saRgHPAVDeviceVendor;1.3.6.1.4.1.1429.79.2.9.2.1.5
saRgHPAVDeviceFirmware;1.3.6.1.4.1.1429.79.2.9.2.1.6
saRgHPAVDeviceChipset;1.3.6.1.4.1.1429.79.2.9.2.1.7
saRgHPAVDeviceTx;1.3.6.1.4.1.1429.79.2.9.2.1.8
saRgHPAVDeviceRx;1.3.6.1.4.1.1429.79.2.9.2.1.9
saRgHPAVDeviceTime;1.3.6.1.4.1.1429.79.2.9.2.1.10
saRgHomePlugAVHostTable;1.3.6.1.4.1.1429.79.2.9.3
saRgHomePlugAVHostEntry;1.3.6.1.4.1.1429.79.2.9.3.1
saRgHPAVDHostIndex;1.3.6.1.4.1.1429.79.2.9.3.1.1
saRgHPAVHostBridgedMAC;1.3.6.1.4.1.1429.79.2.9.3.1.2
saRgHomePlugAVPollRate;1.3.6.1.4.1.1429.79.2.9.4
saRgHomePlugAVClearTable;1.3.6.1.4.1.1429.79.2.9.5
saRgHomePlugAVRefreshTable;1.3.6.1.4.1.1429.79.2.9.6
saRgL2TP;1.3.6.1.4.1.1429.79.2.10
saRgL2TPOperMode;1.3.6.1.4.1.1429.79.2.10.1
saRgL2TPv2Client;1.3.6.1.4.1.1429.79.2.10.2
saRgL2TPv2PPPServerAddressType;1.3.6.1.4.1.1429.79.2.10.2.1
saRgL2TPv2PPPServerAddress;1.3.6.1.4.1.1429.79.2.10.2.2
saRgL2TPv2PPPUsername;1.3.6.1.4.1.1429.79.2.10.2.3
saRgL2TPv2PPPPassword;1.3.6.1.4.1.1429.79.2.10.2.4
saRgL2TPv2Server;1.3.6.1.4.1.1429.79.2.10.3
saRgL2TPv2ClientTable;1.3.6.1.4.1.1429.79.2.10.3.1
saRgL2TPv2ClientEntry;1.3.6.1.4.1.1429.79.2.10.3.1.1
saRgL2TPv2ClientIndex;1.3.6.1.4.1.1429.79.2.10.3.1.1.1
saRgL2TPv2ClientPppUsername;1.3.6.1.4.1.1429.79.2.10.3.1.1.2
saRgL2TPv2ClientPppPassword;1.3.6.1.4.1.1429.79.2.10.3.1.1.3
saRgL2TPv2ServerPreSharedPhrase;1.3.6.1.4.1.1429.79.2.10.3.2
saRgL2TPv3Client;1.3.6.1.4.1.1429.79.2.10.4
saRgL2TPv3TunnelInterface;1.3.6.1.4.1.1429.79.2.10.4.1
saRgL2TPv3Authentication;1.3.6.1.4.1.1429.79.2.10.4.2
saRgL2TPv3DigestValue;1.3.6.1.4.1.1429.79.2.10.4.3
saRgL2TPv3SharedSecret;1.3.6.1.4.1.1429.79.2.10.4.4
saRgL2TPv3EndpointAddressType;1.3.6.1.4.1.1429.79.2.10.4.5
saRgL2TPv3EndpointAddress;1.3.6.1.4.1.1429.79.2.10.4.6
saRgL2TPv3VirtualCircuitId;1.3.6.1.4.1.1429.79.2.10.4.7
saRgL2TPv3CookieSize;1.3.6.1.4.1.1429.79.2.10.4.8
saRgL2TPApplySettings;1.3.6.1.4.1.1429.79.2.10.5
saRgVlan;1.3.6.1.4.1.1429.79.2.11
saRgVlanStripTagsWan;1.3.6.1.4.1.1429.79.2.11.1
saRgVlanStripTagsLan;1.3.6.1.4.1.1429.79.2.11.2
saRgVlanTable;1.3.6.1.4.1.1429.79.2.11.3
saRgVlanEntry;1.3.6.1.4.1.1429.79.2.11.3.1
saRgVlanID;1.3.6.1.4.1.1429.79.2.11.3.1.1
saRgVlanDesc;1.3.6.1.4.1.1429.79.2.11.3.1.2
saRgVlanEthernet;1.3.6.1.4.1.1429.79.2.11.3.1.3
saRgVlanWiFi;1.3.6.1.4.1.1429.79.2.11.3.1.4
saRgVlanMoca;1.3.6.1.4.1.1429.79.2.11.3.1.5
saRgVlanUSB;1.3.6.1.4.1.1429.79.2.11.3.1.6
saRgVlanStartAddrType;1.3.6.1.4.1.1429.79.2.11.3.1.7
saRgVlanStartAddr;1.3.6.1.4.1.1429.79.2.11.3.1.8
saRgVlanEndAddrType;1.3.6.1.4.1.1429.79.2.11.3.1.9
saRgVlanEndAddr;1.3.6.1.4.1.1429.79.2.11.3.1.10
saRgVlanSubnetMaskType;1.3.6.1.4.1.1429.79.2.11.3.1.11
saRgVlanSubnetMask;1.3.6.1.4.1.1429.79.2.11.3.1.12
saRgVlanRouterIpType;1.3.6.1.4.1.1429.79.2.11.3.1.13
saRgVlanRouterIp;1.3.6.1.4.1.1429.79.2.11.3.1.14
saRgVlanLeaseTime;1.3.6.1.4.1.1429.79.2.11.3.1.15
saRgVlanRouteMode;1.3.6.1.4.1.1429.79.2.11.3.1.16
saRgVlanTOS;1.3.6.1.4.1.1429.79.2.11.3.1.17
saRgVlanFirewall;1.3.6.1.4.1.1429.79.2.11.3.1.18
saRgVlanUpnp;1.3.6.1.4.1.1429.79.2.11.3.1.19
saRgVlanRowStatus;1.3.6.1.4.1.1429.79.2.11.3.1.20
saRgVlanApplySettings;1.3.6.1.4.1.1429.79.2.11.4
saRgDslite;1.3.6.1.4.1.1429.79.2.12
saRgDsliteOption;1.3.6.1.4.1.1429.79.2.12.1
saRgDsliteAftrName;1.3.6.1.4.1.1429.79.2.12.2
saRgDsliteAftrAddress;1.3.6.1.4.1.1429.79.2.12.3
saRgDsliteTcpMssClamping;1.3.6.1.4.1.1429.79.2.12.4
saRgDsliteIPv4FragEnabled;1.3.6.1.4.1.1429.79.2.12.5
saRgDslitePcpMode;1.3.6.1.4.1.1429.79.2.12.6
saRgDsliteApplySettings;1.3.6.1.4.1.1429.79.2.12.1001
saRgWifiHotspotMib;1.3.6.1.4.1.1429.79.2.13
saRgWifiHotspotBase;1.3.6.1.4.1.1429.79.2.13.1
saRgWifiHotspotEnabled;1.3.6.1.4.1.1429.79.2.13.1.1
saRgWifiHotspotTable;1.3.6.1.4.1.1429.79.2.13.1.2
saRgWifiHotspotEntry;1.3.6.1.4.1.1429.79.2.13.1.2.1
saRgWifiHotspotInstance;1.3.6.1.4.1.1429.79.2.13.1.2.1.1
saRgWifiHotspotIf;1.3.6.1.4.1.1429.79.2.13.1.2.1.2
saRgWifiHotspotMode;1.3.6.1.4.1.1429.79.2.13.1.2.1.3
saRgWifiHotspotCpeIdleTimeout;1.3.6.1.4.1.1429.79.2.13.1.2.1.4
saRgWifiHotspotCpeSessionTimeout;1.3.6.1.4.1.1429.79.2.13.1.2.1.5
saRgWifiHotspotRadiusAccAddressType;1.3.6.1.4.1.1429.79.2.13.1.2.1.6
saRgWifiHotspotRadiusAccAddress;1.3.6.1.4.1.1429.79.2.13.1.2.1.7
saRgWifiHotspotRadiusAccPort;1.3.6.1.4.1.1429.79.2.13.1.2.1.8
saRgWifiHotspotRadiusAccKey;1.3.6.1.4.1.1429.79.2.13.1.2.1.9
saRgWifiHotspotPacketFilterMask;1.3.6.1.4.1.1429.79.2.13.1.2.1.10
saRgWifiHotspotInsertDhcpOptionsMask;1.3.6.1.4.1.1429.79.2.13.1.2.1.11
saRgWifiHotspotRowStatus;1.3.6.1.4.1.1429.79.2.13.1.2.1.12
saRgWifiHotspotAutRateLimit;1.3.6.1.4.1.1429.79.2.13.1.3
saRgWifiHotspotAutDenialTimeout;1.3.6.1.4.1.1429.79.2.13.1.4
saRgWifiHotspotRadiusOrigIf;1.3.6.1.4.1.1429.79.2.13.1.5
saRgWifiHotspotIgnoreMaxCpeSetting;1.3.6.1.4.1.1429.79.2.13.1.6
saRgWifiHotspotCapable;1.3.6.1.4.1.1429.79.2.13.1.7
saRgWifiHotspotConnectedClientsTable;1.3.6.1.4.1.1429.79.2.13.1.8
saRgWifiHotspotConnectedClientsEntry;1.3.6.1.4.1.1429.79.2.13.1.8.1
saRgWifiHotspotConnectedClientsIndex;1.3.6.1.4.1.1429.79.2.13.1.8.1.1
saRgWifiHotspotConnectedClientsPhysAddr;1.3.6.1.4.1.1429.79.2.13.1.8.1.2
saRgWifiHotspotConnectedClientsRssiLevel;1.3.6.1.4.1.1429.79.2.13.1.8.1.3
saRgWifiHotspotConnectedClientsIpv4Addr;1.3.6.1.4.1.1429.79.2.13.1.8.1.4
saRgWifiHotspotConnectedClientsHostName;1.3.6.1.4.1.1429.79.2.13.1.8.1.5
saRgWifiHotspotConnectedClientsDhcpv4Status;1.3.6.1.4.1.1429.79.2.13.1.8.1.6
saRgL2ogreMib;1.3.6.1.4.1.1429.79.2.14
saRgL2ogreBase;1.3.6.1.4.1.1429.79.2.14.1
saRgL2ogreEnabled;1.3.6.1.4.1.1429.79.2.14.1.1
saRgL2ogrePriRemoteAddressType;1.3.6.1.4.1.1429.79.2.14.1.2
saRgL2ogrePriRemoteAddress;1.3.6.1.4.1.1429.79.2.14.1.3
saRgL2ogreSecRemoteAddressType;1.3.6.1.4.1.1429.79.2.14.1.4
saRgL2ogreSecRemoteAddress;1.3.6.1.4.1.1429.79.2.14.1.5
saRgL2ogreDSCP;1.3.6.1.4.1.1429.79.2.14.1.6
saRgL2ogreKeepAliveMode;1.3.6.1.4.1.1429.79.2.14.1.7
saRgL2ogreKeepAliveCount;1.3.6.1.4.1.1429.79.2.14.1.8
saRgL2ogreKeepAliveInterval;1.3.6.1.4.1.1429.79.2.14.1.9
saRgL2ogreKeepAliveFailureThreshold;1.3.6.1.4.1.1429.79.2.14.1.10
saRgL2ogreStatsTable;1.3.6.1.4.1.1429.79.2.14.1.11
saRgL2ogreStatsEntry;1.3.6.1.4.1.1429.79.2.14.1.11.1
saRgL2ogreStatsIndex;1.3.6.1.4.1.1429.79.2.14.1.11.1.1
saRgL2ogreStatsBytesSent;1.3.6.1.4.1.1429.79.2.14.1.11.1.2
saRgL2ogreStatsBytesReceived;1.3.6.1.4.1.1429.79.2.14.1.11.1.3
saRgL2ogreStatsPacketsSent;1.3.6.1.4.1.1429.79.2.14.1.11.1.4
saRgL2ogreStatsPacketsReceived;1.3.6.1.4.1.1429.79.2.14.1.11.1.5
saRgL2ogreStatsDiscardPacketsReceived;1.3.6.1.4.1.1429.79.2.14.1.11.1.6
saRgL2ogreStatsErrorPacketsReceived;1.3.6.1.4.1.1429.79.2.14.1.11.1.7
saRgL2ogreStatsKeepAliveSent;1.3.6.1.4.1.1429.79.2.14.1.11.1.8
saRgL2ogreStatsKeepAliveReceived;1.3.6.1.4.1.1429.79.2.14.1.11.1.9
saRgL2ogreSourceIfTable;1.3.6.1.4.1.1429.79.2.14.1.12
saRgL2ogreSourceIfEntry;1.3.6.1.4.1.1429.79.2.14.1.12.1
saRgL2ogreSourceIfInstance;1.3.6.1.4.1.1429.79.2.14.1.12.1.1
saRgL2ogreSourceIf;1.3.6.1.4.1.1429.79.2.14.1.12.1.2
saRgL2ogreSourceIfEnabled;1.3.6.1.4.1.1429.79.2.14.1.12.1.3
saRgL2ogreSourceIfVlanTag;1.3.6.1.4.1.1429.79.2.14.1.12.1.4
saRgL2ogreSourceIfMplsHeader;1.3.6.1.4.1.1429.79.2.14.1.12.1.5
saRgL2ogreSourceIfRowStatus;1.3.6.1.4.1.1429.79.2.14.1.12.1.6
saRgL2ogreOrigIf;1.3.6.1.4.1.1429.79.2.14.1.13
saRgL2ogreConcentratorServiceName;1.3.6.1.4.1.1429.79.2.14.1.14
saRgL2ogreDnsResolverRetryTimerMin;1.3.6.1.4.1.1429.79.2.14.1.15
saRgL2ogreDnsResolverRetryTimerMax;1.3.6.1.4.1.1429.79.2.14.1.16
saRgL2ogreKeepAliveFailureInterval;1.3.6.1.4.1.1429.79.2.14.1.17
saRgL2ogreKeepAliveReattemptInterval;1.3.6.1.4.1.1429.79.2.14.1.18
saRgIGMP;1.3.6.1.4.1.1429.79.2.15
saRgIGMPMaxRspTime;1.3.6.1.4.1.1429.79.2.15.1
saRgNetworkExtenders;1.3.6.1.4.1.1429.79.2.16
saRgNetworkExtenderTable;1.3.6.1.4.1.1429.79.2.16.1
saRgNetworkExtenderEntry;1.3.6.1.4.1.1429.79.2.16.1.1
saRgNetworkExtenderIndex;1.3.6.1.4.1.1429.79.2.16.1.1.1
saRgNetworkExtenderIpAddress;1.3.6.1.4.1.1429.79.2.16.1.1.2
saRgNetworkExtenderDeviceName;1.3.6.1.4.1.1429.79.2.16.1.1.3
saRgNetworkExtenderVenderName;1.3.6.1.4.1.1429.79.2.16.1.1.4
saRgNetworkExtenderModelNumber;1.3.6.1.4.1.1429.79.2.16.1.1.5
saRgNetworkExtenderFirmwareVersion;1.3.6.1.4.1.1429.79.2.16.1.1.6
saRgNetworkExtenderRadioTable;1.3.6.1.4.1.1429.79.2.16.2
saRgNetworkExtenderRadioEntry;1.3.6.1.4.1.1429.79.2.16.2.1
saRgNetworkExtenderRadioIndex;1.3.6.1.4.1.1429.79.2.16.2.1.1
saRgNetworkExtenderRadioSSID;1.3.6.1.4.1.1429.79.2.16.2.1.2
saRgNetworkExtenderRadioBSSID;1.3.6.1.4.1.1429.79.2.16.2.1.3
saRgNetworkExtenderRadioChannel;1.3.6.1.4.1.1429.79.2.16.2.1.4
saRgNetworkExtenderRadioMode;1.3.6.1.4.1.1429.79.2.16.2.1.5
saRgNetworkExtenderClientTable;1.3.6.1.4.1.1429.79.2.16.3
saRgNetworkExtenderClientEntry;1.3.6.1.4.1.1429.79.2.16.3.1
saRgNetworkExtenderClientIndex;1.3.6.1.4.1.1429.79.2.16.3.1.1
saRgNetworkExtenderClientMAC;1.3.6.1.4.1.1429.79.2.16.3.1.2
saRgNetworkExtenderClientInterface;1.3.6.1.4.1.1429.79.2.16.3.1.3
saTR069;1.3.6.1.4.1.1429.79.6
saTR069ClientConfig;1.3.6.1.4.1.1429.79.6.1
saTR069ClientMode;1.3.6.1.4.1.1429.79.6.1.1
saTR069ClientAcsUrl;1.3.6.1.4.1.1429.79.6.1.2
saTR069ClientAcsUsername;1.3.6.1.4.1.1429.79.6.1.3
